
random
arr size,choose,insert,shell
20,34001,9428,6878
40,441,980,10261
80,637,879,13646
160,1408,2062,26488
320,4362,1526,39491
640,2499,1483,67854
1280,920,7339,114773
2560,5055,21780,203573
5120,13764,83352,410430
10240,53036,343562,713615
20480,183987,1332887,1424063
40960,824744,5942252,2929951
81920,2941820,48144453,5770911

shuffled 10%
arr size,choose,insert,shell
20,367,135,1920
40,155,92,2342
80,629,103,5205
160,366,129,11299
320,542,452,22139
640,1070,1504,44479
1280,1537,6184,88926
2560,4988,20225,176385
5120,17212,69853,350930
10240,59208,280218,705818
20480,253319,1145468,1440891
40960,1072422,4686178,2909487
81920,5881877,25375770,6481652

shuffled 5 elements
arr size,choose,insert,shell
20,140,38,1503
40,90,57,3542
80,136,66,6216
160,129,73,12093
320,205,183,25852
640,405,158,54823
1280,1485,2651,102020
2560,5190,1187,206461
5120,13691,1412,382551
10240,55824,23102,712611
20480,220956,131661,1407998
40960,905667,378074,2832908
81920,5199959,5404209,5654992
